"Reference","Value","Footprint","Qty","DNP","Mouser Part Number"
"C1,C2,C3,C4,C5,C6,C10","100nF","Capacitor_SMD:C_0402_1005Metric","7","","581-0402X7R104KT7AT"
"C6","10uF","Capacitor_SMD:C_0402_1005Metric","1","","581-KGM05CS60J106MH"
"C7","1uF","Capacitor_SMD:C_0402_1005Metric","1","","581-04023D105KAT2A"
"C8,C9","2.2uF","Capacitor_SMD:C_0402_1005Metric","2","","581-04026D105MAT4A"
"C11","4.7uF","Capacitor_SMD:C_0402_1005Metric","1","","581-04026D475MAT2A"
"C12,C19,C20,C28,C29,C37,C38,C46,C47","0.1uF","Capacitor_SMD:C_0402_1005Metric","9","","581-0402X7R104KT7AT"
"C13,C14,C17,C18","20pF","Capacitor_SMD:C_0402_1005Metric","4","","77-VJ0402D200FXCAJ"
"C15,C16","1.8pF","Capacitor_SMD:C_0402_1005Metric","2","","581-0402YA1R8BAT2A"
"C21,C30,C39,C48","330nF","Capacitor_SMD:C_0402_1005Metric","4","","81-GRT155C80J334KE1J"
"C22,C24,C31,C33,C40,C41,C49,C51","36nF","Capacitor_SMD:C_0402_1005Metric","8","","81-GRM3195C2A363JA1D"
"C23,C32,C42,C50","8.2nF","Capacitor_SMD:C_0402_1005Metric","4","","581-0402YC822MAT2A"
"C25,C26,C27,C34,C35,C36,C43,C44,C45,C52,C53,C54","300nF","Capacitor_SMD:C_0402_1005Metric","12","","581-06035D334KAT2A"
"IC1","STM32H730VBT6","stm32h730vbt6:QFP50P1600X1600X160-100N","1","","511-STM32H730VBT6"
"IC2","WF200D","wf200d:QFN40P400X400X90-33N-D","1","","634-WF200D"
"IC3,IC7,IC11,IC15","INA333AIDRGT","ina333:SON50P300X300X80-9N-D","4","","595-INA333AIDRGT"
"IC4,IC8,IC12,IC16","OPA333AIDCKRG4","opa333:SOT65P210X110-5N","4","","595-OPA333AIDCKRG4"
"IC5,IC6,IC9,IC10,IC13,IC14,IC17,IC18","MCP602-E_SN","mcp602:SOIC127P600X175-8N","8","","579-MCP602-E/SN"
"J1","USB4105-GF-A","USB4105-GF-A:GCT_USB4105-GF-A","1","","640-USB4105-GF-A"
"J2","-- mixed values --","-- mixed values --","1","DNP",""
"L1","3.9nH","Inductor_SMD:L_0402_1005Metric","1","","70-IFCB0402ER3N9S"
"R1","1k","Resistor_SMD:R_0402_1005Metric","1","","667-ERA-2ARC102X"
"R2,R5","10k","Resistor_SMD:R_0402_1005Metric","2","","71-CRCW040210K0FKEDC"
"R3,R4","47","Resistor_SMD:R_0402_1005Metric","2","","755-SFR01MZPJ470"
"R6","50","Resistor_SMD:R_0402_1005Metric","1","","755-SFR01MZPJ470"
"R7,R17,R27,R37","5.26k","Resistor_SMD:R_0402_1005Metric","4","","71-CRCW04025K23FKEDC "
"R8,R18,R28,R38","910k","Resistor_SMD:R_0402_1005Metric","4","","594-MCS04020D9101BE0"
"R9,R19,R29,R39","5k","Resistor_SMD:R_0402_1005Metric","4","","603-RC0402FR-075KL"
"R10,R20,R30,R40","995k","Resistor_SMD:R_0402_1005Metric","4","","279-CRGCQ0402J1M0 "
"R11,R21,R31,R41","97k","Resistor_SMD:R_0402_1005Metric","4","","660-RK73G1ETTP9762F"
"R12,R22,R32,R42","149K","Resistor_SMD:R_0402_1005Metric","4","","660-RN73R1TP1493D25"
"R13,R23,R33,R43","276K","Resistor_SMD:R_0402_1005Metric","4","","660-RN73R1TP2773B25"
"R14,R24,R34,R44","967k","Resistor_SMD:R_0402_1005Metric","4","","594-MCS04020C9763FE0"
"R15,R25,R35,R45","1.93M","Resistor_SMD:R_0402_1005Metric","4","","667-ERJ-U02F2004X "
"R16,R26,R36,R46","484k","Resistor_SMD:R_0402_1005Metric","4","","71-CRCW0402487KFKEDC"
"SW1,SW2","SW_Push","sw_push:COM12992","2","","474-COM-12992"
"U1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1","","511-USBLC6-2SC6 "
"Y1","30MHz","crystal30M:830107284409","1","","710-830107284409"
"Y2","38.4MHz","crystal38M4:CX1612DB38400H0FLJCC","1","","581-CX1612DB38400H0F"
